"filename", "language", "Markdown", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\README.md", "Markdown", 1, 0, 0, 0, 0, 1, 2
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\css\color.css", "CSS", 0, 0, 0, 130, 6, 31, 167
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\css\layout.css", "CSS", 0, 0, 0, 501, 21, 99, 621
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\css\reset.css", "CSS", 0, 0, 0, 42, 5, 1, 48
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\css\typography.css", "CSS", 0, 0, 0, 66, 5, 13, 84
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\html\about.html", "HTML", 0, 52, 0, 0, 3, 4, 59
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\html\booking.html", "HTML", 0, 342, 0, 0, 12, 31, 385
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\html\findUs.html", "HTML", 0, 88, 0, 0, 0, 7, 95
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\html\index.html", "HTML", 0, 54, 0, 0, 5, 3, 62
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\html\ourFoods.html", "HTML", 0, 133, 0, 0, 7, 22, 162
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\js\booking.js", "JavaScript", 0, 0, 191, 0, 34, 38, 263
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\js\foodMenu.js", "JavaScript", 0, 0, 8, 0, 0, 2, 10
"e:\学校\UniMelb\2023Sem1\User Interface Development\Assignment3\code\js\interaction.js", "JavaScript", 0, 0, 42, 0, 3, 7, 52
"Total", "-", 1, 669, 241, 739, 101, 259, 2010
